Arquivo,Almoxarifado_Origem_Arquivo,Grupo,Data,Id_Produto,Descricao,Sistema,Contagem,Divergencia_Qtd,Valor,Obs,Prejuizo,Hipotese_Sugerida
Movimentados - Geral 19-06.xlsm,Geral,Materia Prima,2026-06-18 00:00:00,9990111056,Castanha do Pará,11.405,11.345,-0.05999999999999872,14.639999999999688,"O item pode apresentar divergência na pesagem. Divergência identificada de 0,298 positivo.",,Outros / não categorizado
Movimentados - Geral 19-06.xlsm,Geral,Produto Acabado,2026-06-18 00:00:00,05004140,Língua de Onça Intenso Flowpack 11g,3512,3511,-1,1.0589,"Erro de contagem, temos 3512",,Recontagem necessária
Movimentados - Geral 19-06.xlsm,Geral,Produto em Processo,2026-06-18 00:00:00,0050303003,Nibs de Cacau - Sakaguchi(PA),184.95,185.248,0.2980000000000018,-15.078800000000092,"O item pode apresentar divergência na pesagem. Divergência identificada de 0,298 positivo.",,Outros / não categorizado
Movimentados - Geral 19.05.xlsm,Geral,Embalagem,2026-05-19 00:00:00,190213119,Sacola de Papel Tamanho G,826,12,-814,0,Algumas vendas não faturam sacolas.,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Embalagem,2026-05-19 00:00:00,190213105,Sacolas de papel tamanho P (24A x 16L),262,92,-170,0,Algumas vendas não faturam sacolas.,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Embalagem,2026-05-19 00:00:00,190213106,Sacolas de papel tamanho M (32A x 23L),232,137,-95,0,Algumas vendas não faturam sacolas.,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Embalagem,2026-05-19 00:00:00,0190213169,Caixa B2B 4 Bombons,390,391,1,0,item ajustado ontem. Recontar,Não,Ajuste de sistema pendente
Movimentados - Geral 19.05.xlsm,Geral,Materia Prima,2026-05-19 00:00:00,9990111074,Ovo de Galinha,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004058,Barra ES Intenso Praliné de Avelã 80g,147,147,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004056,Barra ES Leite Praliné de Pistache 80g,295,295,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004057,Barra ES ao Leite Praliné de Avelã 80g,117,117,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004097,Barra ES Leite com Avelã e Maracujá 80g,220,220,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104120,Bombom Mini Lua Cheia Choco Intenso 10g,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104039,Bombom SF Ganache de Taperebá Int 10g,25,0,-25,19.6675,Nota Pendente de Integração:  1335,Não,Outros / não categorizado
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004148,Caixa de Bombons M (14 bombons),3,3,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104012,Bombom SF Leite Praliné de Pistache 10g,0,0,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104059,Bombom SF Doce de Cupuaçu 10g,4,4,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104018,"Bombom SF Leite Ganache de Cupuaçu 7,7g",25,0,-25,6.757499999999999,Nota Pendente de Integração:  1335,Não,Outros / não categorizado
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004007,MAGIO PF Sakaguchi 78% 60g,498,508,10,-68.527,Conferir Lote para validarmos ajuste,Sim,Erro de lote (necessita ajuste)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004014,MAGIO Língua de Onça Intso Praliné Cx80g,1092,1091,-1,7.05,1 Faturamento não tinha integrado,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104008,Bombom ao Leite Praliné 10g,55,55,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104007,Bombom Intenso Praliné 10g,55,55,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104033,Formigueiro Caramelo de Maracujá 16g,15,15,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05104022,Trufas Nativas Pistache 20g,2,0,-2,2.0224,1 Faturamento não tinha integrado,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004138,Língua de Onça Int Praliné Flowpack 11g,1012,1013,1,-1.0922,1 Faturamento não tinha integrado,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004102,Lua Cheia Minis Chocolate ao Leite 100g,6,6,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004048,Biscoito Cast. Pará Cupulate 70% 150g,1,1,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004141,Língua de Onça Cupulate Flowpack 11g,1,1,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004140,Língua de Onça Intenso Flowpack 11g,1901,1901,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004139,Língua de Onça Leite Flowpack 11g,1741,1741,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004004,MAGIO PF Acará-Açu 75% 60g,125,125,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004003,MAGIO PF Sakaguchi ao Leite 41% 60g,740,740,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004002,PI Paiter Suruí 70% 60g,92,92,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004043,Formigueiro Caramelo de Maracujá Cx 80g,29,29,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004006,MAGIO PF Vale do Jari 65% 60g,271,273,2,-10.4856,Conferir Lote para validarmos ajuste,Sim,Erro de lote (necessita ajuste)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004005,MAGIO PF Bom Jardim 63% 60g,1,1,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004011,MAGIO PF Kunkuni Cupulate 58% 60g,67,67,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004010,MAGIO PF Mocajuba 74% 60g,186,186,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004009,MAGIO PF Xiba 81% 60g,589,592,3,-19.6752,Conferir Lote para validarmos ajuste,Sim,Erro de lote (necessita ajuste)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004165,Trio de Mini Ovos 75g,91,91,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004012,MAGIO PF AMABELA Cupulate  54% 60g,53,53,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,1043,1044,1,-6.514,Conferir Lote para validarmos ajuste,Sim,Erro de lote (necessita ajuste)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004143,Barra ES Chocolate Lt Pistache 29g,1,1,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004142,Barra ES Chocolate Lt Maracujá 29g,1,1,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004008,MAGIO PF Sakaguchi Cupulate 58% 60g,343,343,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004017,Língua de Onça Leit Praliné Flowpack 11g,1892,1891,-1,1.0582,1 Faturamento não tinha integrado,Não,Pendência de faturamento
Movimentados - Geral 19.05.xlsm,Geral,Produto Acabado,2026-05-19 00:00:00,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,1528,1521,-7,49.8092,Conferir Lote para validarmos ajuste,Sim,Erro de lote (necessita ajuste)
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213105,Sacolas de papel tamanho P (24A x 16L),92,92,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213106,Sacolas de papel tamanho M (32A x 23L),57,107,50,-157,Estoque ok,Não,Outros / não categorizado
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213072,Caixa formigueiro Maracuja,31,31,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213074,Caixa Biscoitos Fundo cupu,145,145,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213075,Caixa Biscoitos luva cupu,204,204,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,05004029,Caixa Folha Simples a Granel | 100g,349,299,-50,0,Falta 50 unidades. Item ok na ultima contagem,Sim,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213088,Caixa cartonada rígida  18x12x4 azul M,27,28,1,-11,Recontar,Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213164,Caixa ES Ao Leite Praliné Avelã,3050,3050,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Embalagem,2026-05-20 00:00:00,0190213169,Caixa B2B 4 Bombons,389,391,2,0,Faturar 2 Caixas,Não,Outros / não categorizado
Movimentados - Geral 20.05.xlsm,Geral,Materia Prima,2026-05-20 00:00:00,9990111047,Leite integral,62,60,-2,19.5,Consumo na Copa,Não,Outros / não categorizado
Movimentados - Geral 20.05.xlsm,Geral,Mercadoria de Revenda,2026-05-20 00:00:00,05400002,agua com Gas em Lata 310ml,66,66,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Mercadoria de Revenda,2026-05-20 00:00:00,05400001,Agua sem Gas em Lata 310ml,99,99,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004007,MAGIO PF Sakaguchi 78% 60g,497,507,10,-68.527,Erro de Contagem no inventário Estoque ok,Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104039,Bombom SF Ganache de Taperebá Int 10g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004151,Caixa Simples SSAL 216g,24,24,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004148,Caixa de Bombons M (14 bombons),2,2,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004149,Caixa de Bombons G (30 bombons),0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104027,Língua de Onça Chocolate Intenso 11g,10,10,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104022,Trufas Nativas Pistache 20g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104026,Língua de Onça Chocolate ao Leite 11g,10,10,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104018,"Bombom SF Leite Ganache de Cupuaçu 7,7g",25,25,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004014,MAGIO Língua de Onça Intso Praliné Cx80g,1090,1089,-1,7.05,Faltando 1 unidade,Sim,Outros / não categorizado
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104020,Trufas Nativas de Chocolate Intenso  20G,70,70,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004056,Barra ES Leite Praliné de Pistache 80g,294,294,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004097,Barra ES Leite com Avelã e Maracujá 80g,228,228,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004057,Barra ES ao Leite Praliné de Avelã 80g,116,116,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05104007,Bombom Intenso Praliné 10g,5,5,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004058,Barra ES Intenso Praliné de Avelã 80g,146,146,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004165,Trio de Mini Ovos 75g,70,70,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004102,Lua Cheia Minis Chocolate ao Leite 100g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004048,Biscoito Cast. Pará Cupulate 70% 150g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004047,Biscoito Cast. Pará Chocolate 60% 150g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004140,Língua de Onça Intenso Flowpack 11g,1900,1900,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004139,Língua de Onça Leite Flowpack 11g,1740,1740,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004138,Língua de Onça Int Praliné Flowpack 11g,1011,1013,2,-2.1844,Contagem OK - Ajustar,Não,Ajuste de sistema pendente
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004043,Formigueiro Caramelo de Maracujá Cx 80g,66,66,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004003,MAGIO PF Sakaguchi ao Leite 41% 60g,739,738,-1,5.8222,"Erro de Contagem, Estoque ok",Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004002,PI Paiter Suruí 70% 60g,91,91,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,5104122,Teste Industrial,26,26,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004006,MAGIO PF Vale do Jari 65% 60g,257,259,2,-10.4856,"Erro de Contagem, Diferênça de 2 uni",Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004005,MAGIO PF Bom Jardim 63% 60g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004004,MAGIO PF Acará-Açu 75% 60g,124,123,-1,6.6911,Baixa Pendente: Nfe 01343 - Estoque Ok,Não,Outros / não categorizado
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004141,Língua de Onça Cupulate Flowpack 11g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004009,MAGIO PF Xiba 81% 60g,588,592,4,-26.2336,Contagem OK - Ajustar,Não,Ajuste de sistema pendente
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004008,MAGIO PF Sakaguchi Cupulate 58% 60g,342,342,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004017,Língua de Onça Leit Praliné Flowpack 11g,1891,1890,-1,1.0582,Contagem OK - Ajustar,Sim,Ajuste de sistema pendente
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004010,MAGIO PF Mocajuba 74% 60g,185,185,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004161,Ovo Marajoara - Recheio de Cupuaçu 420g,3,3,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004012,MAGIO PF AMABELA Cupulate  54% 60g,52,53,1,-7.2981,Contagem OK - Ajustar,Não,Ajuste de sistema pendente
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004011,MAGIO PF Kunkuni Cupulate 58% 60g,66,67,1,-5.6168,"Erro de Contagem, Estoque ok",Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,1037,1043,6,-39.084,Contagem OK - Ajustar,Não,Ajuste de sistema pendente
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004143,Barra ES Chocolate Lt Pistache 29g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004142,Barra ES Chocolate Lt Maracujá 29g,0,0,0,0,ok,Prejuízo,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto Acabado,2026-05-20 00:00:00,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,1527,1521,-6,42.693599999999996,"Erro de Contagem, Estoque ok",Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto em Processo,2026-05-20 00:00:00,0020305005,Massa de Chocolate - Chocolate - Mocajub,2,2,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto em Processo,2026-05-20 00:00:00,0080302002,Amêndoa de Cupuaçu Torrada - Santa Bárba,25,25,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.05.xlsm,Geral,Produto em Processo,2026-05-20 00:00:00,80305004,Massa de  Cupuaçu - Santa Bárbara (PA),32,25,-7,0,"Aparentemente inverteram a contagem do produto com o produto, 0210305004.",Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto em Processo,2026-05-20 00:00:00,210305004,Massa  de Cupuaçu - Sakaguchi,24,31,7,0,"Aparentemente inverteram a contagem do produto com o produto, 0080305004.",Não,Recontagem necessária
Movimentados - Geral 20.05.xlsm,Geral,Produto em Processo,2026-05-20 00:00:00,9990111046,Água com Gás - Acquamix,21,21,0,0,ok,Não,Sem divergência real (falso positivo)
Movimentados - Geral 20.07.xlsm,Geral,Materia Prima,2026-07-17 00:00:00,9990111049,Polpa de Abacaxi com Hortelã,2.3,1.8,-0.4999999999999998,13.939999999999994,Sem histórico de erros nas movimentações. Erro passou despercebido no inventário.,,Outros / não categorizado
Movimentados - Geral 20.07.xlsm,Geral,Materia Prima,2026-07-17 00:00:00,9990111045,Polpa de Açaí,0.1,1.1,1.0,-34.7352,Sem histórico de erros nas movimentações.,,Outros / não categorizado
Movimentados - Geral 20.07.xlsm,Geral,Materia Prima,2026-07-17 00:00:00,9990111006,Manteiga de Leite,6,6.8,0.7999999999999998,-52.959999999999994,Reajuste no proximo inventário.,,Ajuste de sistema pendente
Movimentados - Geral 21.07.xlsm,Geral,Materia Prima,2026-07-20 00:00:00,03001001,Leite em Pó integral,156.8,155.4,-1.4000000000000057,34.44000000000014,"Divergência identificada nos movimentos anteriores. Solução, ajuste no inventário.",Sim,Ajuste de sistema pendente
Movimentados - Geral 22.05.xlsm,Geral,Embalagem,2026-05-22 00:00:00,9990712046,Etiqueta Lacre 1  - Adesivo com hot stam,39260,39260,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Embalagem,2026-05-22 00:00:00,0190213119,Sacola de Papel Tamanho G,823,8,-815,4555.849999999999,Verificar no Box,Não,Outros / não categorizado
Movimentados - Geral 22.05.xlsm,Geral,Embalagem,2026-05-22 00:00:00,0190213106,Sacolas de papel tamanho M (32A x 23L),24,22,-2,6.28,Baixar Por Consumo,Não,Baixa por consumo (processo semanal)
Movimentados - Geral 22.05.xlsm,Geral,Embalagem,2026-05-22 00:00:00,0190213105,Sacolas de papel tamanho P (24A x 16L),81,81,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Materia Prima,2026-05-22 00:00:00,0140106004,Açúcar Demerara,9,9,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Materia Prima,2026-05-22 00:00:00,9990111048,Café organico em graos,8,8,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Materia Prima,2026-05-22 00:00:00,9990111003,Creme de Leite UHT 25%,8,9,1,-38.8516,Ajustar estoque,Não,Ajuste de sistema pendente
Movimentados - Geral 22.05.xlsm,Geral,Outros Insumos,2026-05-22 00:00:00,0540001,Pão de queijo 70 gr,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Outros Insumos,2026-05-22 00:00:00,0540002,Pão de queijo com requeijão 100gr,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104016,"Bombom SF Leite Ganache de Maracujá 7,7g",0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05004057,Barra ES ao Leite Praliné de Avelã 80g,193,193,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104036,Bombom SF Açaí 10g,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104039,Bombom SF Ganache de Taperebá Int 10g,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104059,Bombom SF Doce de Cupuaçu 10g,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104033,Formigueiro Caramelo de Maracujá 16g,85,87,2,-0.9268,Erro de Contagem - Ok,Não,Recontagem necessária
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05004007,MAGIO PF Sakaguchi 78% 60g,503,503,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05004014,MAGIO Língua de Onça Intso Praliné Cx80g,1082,1082,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104020,Trufas Nativas de Chocolate Intenso  20G,48,48,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104018,"Bombom SF Leite Ganache de Cupuaçu 7,7g",0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104007,Bombom Intenso Praliné 10g,17,19,2,-0.9158,Ajustar estoque,Não,Ajuste de sistema pendente
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104012,Bombom SF Leite Praliné de Pistache 10g,0,0,0,0,OK,Não,Sem divergência real (falso positivo)
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05104008,Bombom ao Leite Praliné 10g,70,72,2,-0.9282,Separação errada - Estoque OK - corrigir Lote,Não,Outros / não categorizado
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,1843,1838,-5,35.577999999999996,Falta de  6 unidades não justificada após ajuste,Sim,Ajuste de sistema pendente
Movimentados - Geral 22.05.xlsm,Geral,Produto Acabado,2026-05-22 00:00:00,05004015,MAGIO Língua de Onça ao Leite Cx80g,1035,1035,0,0,OK,Não,Sem divergência real (falso positivo)
